gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDH20,-1.066100871,6.865222564,-9.287077665,4.06E-06,0.00038511,4.666136903
IMPA2,1.535338263,2.983354266,9.099756301,4.85E-06,0.000411041,4.661459269
ARHGEF7,-0.904877257,9.223720656,-9.19780705,4.41E-06,0.000394262,4.654010434
GLP1R,4.865399124,-1.68955535,10.24650165,1.70E-06,0.000283089,4.642521857
COL13A1,3.200078944,-0.199237186,9.509310586,3.30E-06,0.000351046,4.64183984
ANO5,3.370134272,2.014262469,9.022029368,5.22E-06,0.000430842,4.620637668
PDGFA,-1.258738803,5.967967606,-9.225551562,4.30E-06,0.000387417,4.607475762
PRDM8,2.469618609,1.220539936,9.0233139,5.22E-06,0.000430842,4.585785691
PCBP3,3.64084314,0.628238845,9.186483311,4.46E-06,0.00039552,4.583121188
FRMPD1,-0.949832118,4.632774733,-9.134737084,4.69E-06,0.000403583,4.566407803
AFF3,1.10980262,4.464992768,9.124767711,4.73E-06,0.000403583,4.565975212
RMST,3.680283294,2.770623213,8.950977607,5.60E-06,0.000446871,4.55671774
EZH2,0.961977431,6.623516696,9.166986315,4.55E-06,0.00039552,4.541435441
DDX11,0.816091931,5.926932739,9.165532369,4.55E-06,0.00039552,4.541016601
LPAR1,-1.099682391,4.230454014,-9.067247944,5.00E-06,0.000421699,4.530268994
ESPL1,0.877903382,6.480524021,9.128356012,4.72E-06,0.000403583,4.501034194
CABLES2,0.979367222,4.241072832,9.030143289,5.18E-06,0.000430842,4.485632605
FAM57B,1.655079335,0.967686684,8.920964731,5.76E-06,0.000453504,4.484464784
CELF5,1.338917372,2.335235027,8.878654537,6.00E-06,0.000455404,4.480159941
SLC16A10,1.944237985,1.092285318,8.905360656,5.85E-06,0.000453504,4.47747397
FCGR2A,-2.271241426,0.679300857,-8.968400025,5.50E-06,0.000446871,4.459007202
GRIP1,4.989729033,-0.919072318,9.708125719,2.75E-06,0.000331685,4.450684379
ZFHX4-AS1,-6.90586261,-1.220246645,-9.650159307,2.90E-06,0.000331685,4.422123918
HJURP,0.805497124,6.182789875,9.034170198,5.16E-06,0.000430842,4.405431476
SFXN3,-1.47446709,4.07546968,-8.917611187,5.78E-06,0.000453504,4.401069321
SSX1,3.482898786,-0.217300699,9.224509871,4.30E-06,0.000387417,4.393581308
DENND3,1.545218863,2.685099455,8.804752132,6.46E-06,0.00048237,4.39042763
RAB11FIP4,1.43638966,4.783821604,8.96319766,5.53E-06,0.000446871,4.38706422
PRC1,0.859589701,8.146540375,8.951822095,5.59E-06,0.000446871,4.363301367
VGLL2,-1.894405998,4.541559818,-8.903605046,5.86E-06,0.000453504,4.359791595
CLGN,1.221969143,4.015698568,8.865964681,6.08E-06,0.000458787,4.34086792
CKAP2L,1.109024877,6.261901158,8.957425702,5.56E-06,0.000446871,4.32912419
KIF26A,3.401542483,1.375215648,8.741392817,6.87E-06,0.000501095,4.320012615
PLAG1,4.322148146,2.172126144,8.704559502,7.13E-06,0.000509881,4.31638705
AURKB,1.07575646,5.208058145,8.91051746,5.82E-06,0.000453504,4.305919127
TOM1L1,1.256821311,2.74441088,8.720392084,7.02E-06,0.000505743,4.298879117
IL1RAP,-0.993068959,5.110523987,-8.890311599,5.94E-06,0.000454818,4.292279895
ZNF106,-0.958898016,7.596245634,-8.898488266,5.89E-06,0.000453504,4.290280764
GJC1,0.8401652,6.867247537,8.907131745,5.84E-06,0.000453504,4.279361072
PIK3AP1,2.693941706,-0.210765659,8.965816141,5.52E-06,0.000446871,4.266453237
KCNK2,-0.906836839,5.840739646,-8.879317365,6.00E-06,0.000455404,4.254515285
POU4F1,-1.215890574,5.45535012,-8.852498047,6.16E-06,0.000462565,4.24161234
NXPH2,1.628003702,1.644919793,8.618793183,7.76E-06,0.000540046,4.238574903
CCDC74A,1.477302306,2.984153844,8.660640118,7.45E-06,0.000525194,4.223440599
CACNG8,-0.961883939,4.473029135,-8.72823439,6.96E-06,0.000505228,4.163186858
SSPN,-0.925829829,3.859828427,-8.671236123,7.37E-06,0.000524579,4.155220112
LINC00643,2.025100923,1.319840365,8.531836169,8.47E-06,0.000563404,4.143578967
TOR1AIP1,-0.716979873,6.260118635,-8.772731424,6.66E-06,0.000494254,4.136506218
B4GALNT1,1.3710641,5.72334004,8.760231728,6.74E-06,0.000494254,4.135592282
RPS6KA6,4.365939593,-1.154191447,9.261841759,4.15E-06,0.000386002,4.118690239
SYT13,3.222231711,1.641261279,8.505005011,8.71E-06,0.00056685,4.117872081
ZNF367,0.917287509,5.292592871,8.717554774,7.04E-06,0.000505743,4.100775469
REPS2,2.632868714,-0.24418833,8.768179043,6.69E-06,0.000494254,4.097930995
CDKN2A,-1.620675787,4.233559938,-8.594792835,7.95E-06,0.000550087,4.05844197
GFRA1,1.405185446,1.854797512,8.435196021,9.34E-06,0.000585287,4.056173064
SLC27A1,-1.010991579,5.335762965,-8.662345759,7.43E-06,0.000525194,4.045486923
RAI14,0.943704823,5.633524064,8.653592673,7.50E-06,0.000526439,4.021719677
AC005307.3,3.315495951,-1.59942773,9.260772116,4.16E-06,0.000386002,4.016885882
NEBL,2.832081551,2.481712874,8.405462629,9.63E-06,0.000595884,4.016621168
APOLD1,1.269463278,4.580312793,8.591260589,7.98E-06,0.000550087,4.012391978
POLE,0.78358626,6.975211606,8.648320767,7.54E-06,0.000526766,4.011435736
THRB,-0.915781562,5.071795211,-8.586431806,8.02E-06,0.000550162,3.976457023
PRIM1,0.974541305,4.242840606,8.532248206,8.47E-06,0.000563404,3.971525414
MT3,-2.382055242,5.584396033,-8.554016304,8.29E-06,0.000555844,3.94886206
SKA3,0.799702977,5.065169376,8.556665733,8.26E-06,0.000555844,3.940980036
LY6E,2.459214677,3.405270428,8.39952482,9.69E-06,0.000597061,3.94042627
ARHGEF6,-1.083045232,5.84853447,-8.575710706,8.11E-06,0.000550162,3.938581531
MKI67,1.20104379,9.050558075,8.505127575,8.70E-06,0.00056685,3.936791463
CNTN1,-0.834417902,6.554391738,-8.578225044,8.09E-06,0.000550162,3.932955879
STIL,0.708532564,6.046789537,8.573103879,8.13E-06,0.000550162,3.926676913
ARNTL2,1.248174343,4.68224276,8.509023739,8.67E-06,0.00056685,3.917957281
TMEM200A,3.86067744,-0.563765149,8.760188101,6.75E-06,0.000494254,3.91717104
PPP1R3B,-0.907152889,4.148340749,-8.464902318,9.07E-06,0.00057899,3.912085249
POLD3,0.754623478,4.739276397,8.511271167,8.65E-06,0.00056685,3.911041071
CELSR1,0.997921592,3.238825413,8.371696932,9.97E-06,0.000606869,3.894764818
NUDT10,1.102853122,3.279817051,8.358395643,1.01E-05,0.000612727,3.877517206
TMEM145,1.268637747,2.039110598,8.264465826,1.11E-05,0.000634214,3.876198697
GMNN,1.020463749,4.365225624,8.442651484,9.27E-06,0.000583283,3.867289757
SORL1,-1.442213595,6.509700565,-8.504236384,8.71E-06,0.00056685,3.861162272
SLITRK3,-1.023465158,4.926443669,-8.468657559,9.03E-06,0.00057899,3.860750019
VAV3,-1.730068877,5.523439849,-8.460149123,9.11E-06,0.00057899,3.834792631
RCAN3,1.682222546,5.255421039,8.446692683,9.24E-06,0.000583283,3.825649679
CDH4,-2.052606357,7.008143956,-8.458148738,9.13E-06,0.00057899,3.82477745
E2F1,1.234174721,5.796468497,8.464457368,9.07E-06,0.00057899,3.819342519
N4BP3,2.238676497,-0.03231384,8.336864635,1.03E-05,0.000619132,3.799009836
MND1,0.98022492,2.994761158,8.255325604,1.12E-05,0.000637835,3.794001455
EFCAB11,-1.170865543,3.362376735,-8.278178255,1.10E-05,0.000633883,3.793980838
EGR1,-1.675454237,4.181171339,-8.335034261,1.04E-05,0.000619132,3.789345528
C21orf62,-1.376500844,5.338710599,-8.406817529,9.62E-06,0.000595884,3.778934978
CLU,-1.597951902,9.143082931,-8.334848896,1.04E-05,0.000619132,3.762093114
RP11-284N8.3,2.396343704,-0.099236338,8.298670267,1.07E-05,0.000626382,3.745364968
DCHS2,1.177430668,4.434312272,8.327633373,1.04E-05,0.000619132,3.741072173
NCAPG2,0.748178741,6.767116133,8.392250197,9.76E-06,0.000599071,3.734176813
FAXDC2,-1.134274225,4.635999907,-8.321282799,1.05E-05,0.000619132,3.722933719
B4GALNT3,1.238432161,3.089350575,8.194365925,1.20E-05,0.000650183,3.722708757
DDO,-1.909531406,1.377237196,-8.098149311,1.32E-05,0.000686909,3.716214375
DUSP6,-0.876892098,8.312735138,-8.326490306,1.04E-05,0.000619132,3.713279
ZMAT3,-0.851641717,6.167751784,-8.372177248,9.97E-06,0.000606869,3.712685207
NMU,2.069915713,3.78864568,8.231015492,1.15E-05,0.000644573,3.712474377
GMIP,-1.245446089,3.707733524,-8.230011175,1.15E-05,0.000644573,3.7104778
ATP8A2,2.834965118,0.730384092,8.140568098,1.27E-05,0.000670853,3.708116098
RAB31,-0.786877451,7.899523843,-8.321615489,1.05E-05,0.000619132,3.690987601
NTRK1,2.047447315,-0.0716249,8.203304299,1.19E-05,0.000647478,3.676659896
RNF152,2.010890894,1.323537906,8.041683484,1.41E-05,0.000709513,3.659430311
SNX10,-1.071628005,5.780858876,-8.310781266,1.06E-05,0.000621011,3.655159137
MAP3K7CL,-2.091981477,1.083874449,-8.049180959,1.39E-05,0.000707543,3.654338219
IL13RA2,3.014095159,-0.310546635,8.275094917,1.10E-05,0.000633883,3.653507348
CIT,0.850442301,6.03986648,8.315984979,1.06E-05,0.000620095,3.651059196
DGCR5,2.775189458,0.540237295,8.081085903,1.35E-05,0.000692211,3.633537806
MAP2K1,-1.148311999,7.007454954,-8.268626322,1.11E-05,0.000633883,3.608148591
MAD2L1,0.857139456,5.829638384,8.273098381,1.10E-05,0.000633883,3.607768357
NYNRIN,1.242095202,5.977966775,8.26974978,1.11E-05,0.000633883,3.605140917
APOL4,2.365249913,1.948315967,7.990215662,1.48E-05,0.000734522,3.602361043
HNMT,-1.130086208,3.607093783,-8.115934126,1.30E-05,0.000681224,3.593914915
CLCN4,-3.088628119,2.14050524,-7.975681173,1.51E-05,0.000741092,3.590725237
TRIM9,-0.714081081,7.985647031,-8.226646677,1.16E-05,0.000644573,3.590563365
EFNB2,1.884108609,3.811121476,8.123796479,1.29E-05,0.000680355,3.590533258
BAIAP3,-1.301561372,5.578113876,-8.242174697,1.14E-05,0.000644163,3.589522397
PDIA5,1.274043807,2.918202987,8.054146893,1.39E-05,0.000707334,3.588844456
L1CAM,2.51117074,2.855100621,8.021904016,1.44E-05,0.000721981,3.586485395
MMD,0.919870184,3.623150133,8.119730918,1.29E-05,0.000680881,3.585275569
CDC6,0.851820759,5.206973227,8.230886429,1.15E-05,0.000644573,3.583017421
CAV2,3.805605454,1.491249719,7.969537569,1.52E-05,0.000741513,3.576541802
LRRC16B,1.361353586,3.133957155,8.058849878,1.38E-05,0.000706219,3.574499419
FGF12,1.827073828,2.296109017,7.969041516,1.52E-05,0.000741513,3.556058917
NAMPT,0.928988548,5.240587362,8.20702989,1.18E-05,0.000647478,3.555911205
TMEM74,4.22607418,-0.908094296,8.420869709,9.48E-06,0.000591439,3.553487271
KIAA0319,2.143901479,2.596444299,7.978596417,1.50E-05,0.000741092,3.55194453
PPFIBP2,-0.947635545,6.056106761,-8.222519444,1.16E-05,0.000644573,3.551785552
ITGA7,-1.508851055,5.698986506,-8.201831977,1.19E-05,0.000647478,3.544682958
RALGAPA2,0.759229115,6.801597271,8.216628821,1.17E-05,0.000644573,3.543210869
LCP1,2.126482499,0.582683298,7.961890047,1.53E-05,0.000742373,3.536633077
PLCD4,-1.393324553,2.275122201,-7.945909262,1.56E-05,0.000745705,3.532971542
MEGF6,2.076093616,0.071656388,8.018909571,1.44E-05,0.000721981,3.529518587
FBXO36,-1.225108501,2.484717421,-7.958493426,1.54E-05,0.000742675,3.52930177
ESCO2,1.033570965,4.595940113,8.142545651,1.26E-05,0.000670853,3.52452011
TCF19,1.406549677,5.634258148,8.185976877,1.21E-05,0.000652757,3.52292776
CAP2,-0.833916059,4.943579553,-8.154620343,1.25E-05,0.000669962,3.516087208
AC006547.14,1.729378598,1.451996947,7.876988843,1.67E-05,0.000761478,3.490457141
PENK,5.001342835,-1.736772477,8.469598357,9.02E-06,0.00057899,3.489886692
FAM105A,2.441549615,0.782700557,7.892763915,1.65E-05,0.000755531,3.478892172
SERINC2,1.887856481,1.486148312,7.864322807,1.70E-05,0.000766556,3.477161991
RAB3C,3.158241989,1.620266502,7.862382975,1.70E-05,0.000766556,3.47507449
PRICKLE2,-0.752992054,6.50387514,-8.151954099,1.25E-05,0.000669962,3.469809345
ETS2,1.124396399,4.049096996,8.047487349,1.40E-05,0.000707543,3.467409642
SEMA5B,2.275654674,2.657486442,7.885197836,1.66E-05,0.000757082,3.448256883
NGEF,2.286600882,3.174131702,7.925190399,1.59E-05,0.000751763,3.445476023
ZWINT,0.794821428,5.391349878,8.105014681,1.31E-05,0.000686312,3.43563797
HLA-E,-1.54776892,3.128664772,-7.913341931,1.61E-05,0.000752442,3.428921721
CSMD1,1.746725456,2.236107114,7.844234941,1.73E-05,0.000774765,3.42484855
TMSB15A,1.691900119,5.672369628,8.084397141,1.34E-05,0.000692158,3.413679118
CRIM1,-1.148995744,6.596607888,-8.093557712,1.33E-05,0.000687868,3.409524139
DCC,2.373782804,3.871325321,7.926059415,1.59E-05,0.000751763,3.380378482
ARSG,-0.929564404,3.692782686,-7.931157207,1.58E-05,0.000751763,3.376712691
FRMD4B,2.202679191,1.675869811,7.764665592,1.89E-05,0.00081345,3.369909202
ADAMTSL3,2.536823195,0.235400583,7.830337014,1.76E-05,0.000780181,3.364854402
