gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
HOPX,-3.150128315,5.644804398,-20.26048258,3.16E-09,4.78E-05,11.85152746
LMO2,-2.294174404,4.000050331,-17.61239058,1.18E-08,6.49E-05,10.53251862
IGSF9,3.594397579,2.107127386,17.44966675,1.29E-08,6.49E-05,9.807021709
SEL1L3,-2.944338598,7.481594897,-15.69062964,3.48E-08,7.94E-05,9.570281603
SYT6,3.0163155,1.82648614,16.29848257,2.44E-08,7.94E-05,9.291726452
LGI2,-2.42559778,7.149286727,-15.16587473,4.77E-08,7.94E-05,9.256079468
FAM84A,-1.67402766,6.562236502,-15.10153531,4.97E-08,7.94E-05,9.214610294
E2F8,1.719057577,3.633929247,15.08236172,5.03E-08,7.94E-05,9.176183602
PPP1R1C,-2.892975769,3.844614142,-14.85514923,5.79E-08,7.94E-05,9.018625691
FGF1,-2.959249021,2.816105849,-14.89653549,5.64E-08,7.94E-05,8.891849246
TCEAL2,3.157890333,1.814241364,15.08388097,5.02E-08,7.94E-05,8.703576031
CHCHD7,1.638938483,4.467441546,14.05078501,9.68E-08,0.000112689,8.555291316
H3F3A,3.675345961,5.85053076,13.95807708,1.03E-07,0.000112689,8.491599195
C8orf46,-2.18243586,5.891932904,-13.83118494,1.12E-07,0.000112689,8.398782734
SDC2,1.398272003,4.650125252,13.71256926,1.21E-07,0.000114373,8.328013168
PIPOX,-1.814179394,4.080234149,-13.37831939,1.52E-07,0.000135085,8.108411646
CADM3,4.79305225,2.315095057,13.87355617,1.09E-07,0.000112689,8.043820797
RP11-572C15.6,-1.842479345,3.479106178,-13.28299859,1.62E-07,0.000136243,8.033487239
EPB41,1.075083909,5.942630604,13.04099853,1.92E-07,0.000152796,7.838496234
CCDC80,-1.753281692,6.786419299,-12.90134089,2.12E-07,0.000155463,7.741868208
SH3PXD2A,1.57237489,3.76933853,12.84188805,2.21E-07,0.000155463,7.736829179
TICRR,1.224504244,6.163613174,12.72527802,2.41E-07,0.000155463,7.607557703
CACNA1G,2.457436328,1.909634374,12.69078213,2.47E-07,0.000155463,7.458891147
CACNA1C,3.171959643,2.085556981,12.68845863,2.47E-07,0.000155463,7.453751872
FOXN4,2.455090859,2.575537839,12.29105987,3.30E-07,0.000189447,7.294984936
SKA1,1.116001244,4.465828103,12.25734969,3.39E-07,0.000189447,7.290898104
AK4,-1.574691205,6.174494214,-12.28800259,3.31E-07,0.000189447,7.283102831
OMG,-1.528804188,3.569950253,-12.15319229,3.66E-07,0.00019185,7.239369072
MAPK4,2.578357215,3.307948417,12.07437103,3.89E-07,0.00019185,7.178515641
NDRG4,-1.554155398,8.032181142,-12.08155331,3.86E-07,0.00019185,7.141833564
MATN2,-1.779830516,6.983002413,-12.00848828,4.08E-07,0.00019185,7.070123732
SNAP25,-1.292424533,5.295729641,-11.93406825,4.32E-07,0.00019185,7.020070074
EXO1,1.073913826,5.354310969,11.93909545,4.30E-07,0.00019185,7.018481779
MXD3,1.048885607,5.274397499,11.82515754,4.70E-07,0.000197392,6.930488622
BBOX1,-2.45591009,2.821282826,-11.74731462,4.99E-07,0.000197392,6.914600669
LMO1,-1.674656789,4.71904573,-11.76525113,4.92E-07,0.000197392,6.910117366
E2F7,1.409318592,4.762260163,11.69880429,5.18E-07,0.000197392,6.849232775
ALDOC,-2.601012146,4.969086589,-11.64089476,5.41E-07,0.000197392,6.817324225
YBX3,1.85488208,3.09807914,11.56305545,5.75E-07,0.000197392,6.793675693
EPHB6,3.164559422,2.368652543,11.59690004,5.60E-07,0.000197392,6.753881577
C1orf54,-1.554622433,2.966893958,-11.46276884,6.23E-07,0.000199252,6.714741653
MELK,0.944962931,6.317698861,11.57040626,5.72E-07,0.000197392,6.710812513
WDR76,1.081534476,5.152792499,11.50528942,6.02E-07,0.000199252,6.677616715
TBC1D2B,1.235250127,4.725703425,11.47681604,6.16E-07,0.000199252,6.670789099
HYDIN,2.19527778,1.511537695,11.58243245,5.67E-07,0.000197392,6.652705173
APOE,-2.18319076,5.066473283,-11.44044998,6.34E-07,0.000199252,6.644860771
KIAA1211L,-2.498297804,2.920295597,-11.20631024,7.64E-07,0.000212451,6.508471838
C2orf80,-2.915325345,3.065212062,-11.18933602,7.74E-07,0.000212451,6.494931248
LGR5,1.871759262,3.482590007,11.14923671,8.00E-07,0.000215516,6.461470107
HEPACAM,-2.089110892,5.166307678,-11.20508059,7.64E-07,0.000212451,6.446464946
DUSP4,-1.870625211,5.783744777,-11.21367729,7.59E-07,0.000212451,6.433270623
CORO2A,1.772935328,2.831159243,11.0404502,8.73E-07,0.000227284,6.382225431
KCNIP1,-1.380936055,6.171384065,-11.05946096,8.60E-07,0.000227284,6.292810578
FANCA,1.02271803,4.961257233,10.99253335,9.08E-07,0.000228471,6.258261297
CDH23,2.888108546,2.054779579,10.82714879,1.04E-06,0.000240941,6.156112677
SPIN4,1.334172947,4.011484999,10.80673993,1.06E-06,0.000240941,6.149445634
LINC00839,-1.109254842,5.087965135,-10.76653191,1.09E-06,0.000240941,6.063332447
GTSE1,1.220810698,4.673552655,10.74156872,1.12E-06,0.000240941,6.057646198
HSD17B12,-0.90866377,5.324107204,-10.76946035,1.09E-06,0.000240941,6.055827356
METTL7B,-4.180111894,2.003292341,-10.8235854,1.04E-06,0.000240941,6.052338219
PKIB,-0.926282354,5.398629902,-10.76425244,1.10E-06,0.000240941,6.049222197
CLSPN,1.11718321,5.417766027,10.76070646,1.10E-06,0.000240941,6.044438268
PIM1,1.817083553,3.921525369,10.65157883,1.20E-06,0.00025258,6.028043751
IQGAP3,1.170405026,6.129184931,10.75060169,1.11E-06,0.000240941,6.02362214
PCSK1,4.637927586,2.131012047,10.74916525,1.11E-06,0.000240941,6.021829574
FST,1.960860293,2.837039161,10.56199792,1.30E-06,0.000254072,5.990845655
ABLIM3,2.70830106,1.680444954,10.62371119,1.23E-06,0.000254072,5.959891041
MAFB,1.902860728,1.823091186,10.55131553,1.31E-06,0.000254072,5.942860802
SYT9,2.294016137,1.833053053,10.53470927,1.33E-06,0.000254072,5.923088061
ACSBG1,-1.440667692,4.4250453,-10.55304835,1.31E-06,0.000254072,5.913746774
BMI1,1.142033694,6.041288549,10.6119093,1.25E-06,0.000254072,5.902556333
CST3,-2.425797946,8.370042358,-10.54257242,1.32E-06,0.000254072,5.886189405
LRP2,2.960001323,3.126307721,10.37104308,1.53E-06,0.000278612,5.830206824
UNC5C,-4.256689324,-0.386591666,-11.98781086,4.15E-07,0.00019185,5.825700261
KIAA1462,1.848525437,2.80112495,10.32595377,1.59E-06,0.000281962,5.791336196
CTNNA2,2.664015755,1.685733362,10.33968707,1.57E-06,0.000281962,5.740224913
KIF18B,1.03128737,6.183099614,10.41748221,1.47E-06,0.000275575,5.72794638
SLITRK4,4.850208767,0.225231443,11.20855522,7.62E-07,0.000212451,5.71723954
NDUFB5,-1.02833508,6.215176584,-10.36891227,1.53E-06,0.000278612,5.685949959
GRIA3,-1.581789988,5.291671844,-10.31384318,1.61E-06,0.000281962,5.662244619
FAM107A,-2.597619833,2.095246554,-10.19264016,1.78E-06,0.000292816,5.649585948
AMOT,1.947981593,5.661219163,10.29435241,1.63E-06,0.000283089,5.634693726
SLC12A7,1.803926669,2.503707999,10.13537671,1.88E-06,0.000295818,5.630027882
RIN2,-1.269536745,5.396554873,-10.27907084,1.66E-06,0.000283089,5.623105527
CPT1C,-1.297470636,4.718831579,-10.24399938,1.71E-06,0.000283089,5.620798822
CCND1,-2.148981443,7.050845348,-10.24982156,1.70E-06,0.000283089,5.594003156
CHD5,2.677475358,2.120121329,10.06821226,1.99E-06,0.000309742,5.556530308
EYA4,-3.45213905,3.003921818,-10.04965244,2.02E-06,0.000311027,5.555267749
ATP2B3,3.663717734,0.114563941,10.70880678,1.15E-06,0.000244139,5.532502383
BTG2,-0.913030612,5.673923656,-10.17964896,1.80E-06,0.000292971,5.521170452
PPARGC1A,-1.134244287,5.626376941,-10.15479843,1.84E-06,0.000295818,5.50169625
TMEFF2,2.033922906,2.285354926,9.977829066,2.16E-06,0.000312948,5.491485949
ABCA8,-2.49273534,4.230946498,-9.989700804,2.13E-06,0.000312673,5.445354766
SPC25,1.07283536,4.803357818,10.04039617,2.04E-06,0.000311027,5.424168638
LRIG3,2.006255865,2.646797864,9.853363339,2.41E-06,0.000321879,5.382559369
CXorf57,2.60565319,4.175936074,9.921427712,2.27E-06,0.000319838,5.380077279
ITGA9,1.34515569,3.163276614,9.878080156,2.36E-06,0.000321879,5.379987236
ABCD2,-1.659717535,3.097969428,-9.853421928,2.41E-06,0.000321879,5.369250762
CDH6,-1.521855529,6.721396406,-9.998163053,2.12E-06,0.000312673,5.35230315
KIF24,0.942230748,5.571886188,9.994683352,2.12E-06,0.000312673,5.350700387
UGT8,2.766220299,3.806258289,9.858826806,2.40E-06,0.000321879,5.347542966
LPPR4,-1.72718978,4.254369572,-9.888994615,2.33E-06,0.000321879,5.333972987
NTNG1,4.119663988,-1.025134075,11.26117472,7.31E-07,0.000212451,5.316802948
PBK,1.232555406,5.256282534,9.943586061,2.22E-06,0.000319554,5.315846799
SMTN,1.310603613,4.938892459,9.925921412,2.26E-06,0.000319838,5.314231948
ZFHX4,-3.133343377,3.584521903,-9.790803998,2.55E-06,0.000331685,5.312440438
C1orf95,2.632605209,0.696291651,9.992156333,2.13E-06,0.000312673,5.295463301
P4HA2,1.677402956,2.225795851,9.748230762,2.65E-06,0.000331685,5.290996331
TLR5,-1.30736985,2.940780536,-9.744690834,2.66E-06,0.000331685,5.27394829
SATB2,-4.702972056,0.405938858,-10.41010014,1.48E-06,0.000275575,5.269351838
TFAP2C,-5.266550859,-2.427732236,-11.57041141,5.72E-07,0.000197392,5.269031471
ENPP1,1.531107407,3.262946319,9.739012299,2.67E-06,0.000331685,5.248800944
SPP1,3.065338005,1.546271494,9.76690606,2.60E-06,0.000331685,5.246851758
FAM162A,-1.068762855,4.675611916,-9.825496228,2.47E-06,0.000324994,5.234666513
CHRNA5,1.443690481,2.752907857,9.688183376,2.80E-06,0.000331685,5.227382179
CLMN,1.741943631,2.728856728,9.678195211,2.82E-06,0.000331685,5.221232084
ST8SIA2,3.282398603,1.801265656,9.706879649,2.75E-06,0.000331685,5.21194621
LIMA1,-0.899371963,7.952878045,-9.823124543,2.48E-06,0.000324994,5.211173641
FMNL1,2.244728824,2.448521923,9.640325913,2.92E-06,0.000331685,5.194940558
RP11-384P7.7,2.70310524,1.749410841,9.649251178,2.90E-06,0.000331685,5.175239045
SYTL4,1.484917,3.503557983,9.672049736,2.84E-06,0.000331685,5.171134438
TMEM163,-2.435983887,1.579343892,-9.644836164,2.91E-06,0.000331685,5.152152709
MPPED1,4.628657841,-1.698219838,11.22725229,7.51E-07,0.000212451,5.140562067
SYTL2,-2.804237566,4.049956179,-9.586448096,3.07E-06,0.000341397,5.091573794
PBXIP1,-1.738635961,6.748623316,-9.704227984,2.76E-06,0.000331685,5.078477097
LRRC17,-1.387275092,2.356788759,-9.504527545,3.31E-06,0.000351046,5.071898368
ACADL,2.574404107,1.235791067,9.584484215,3.08E-06,0.000341397,5.07056954
ZNF521,-4.881214443,0.437997688,-10.13231415,1.88E-06,0.000295818,5.059900721
MRAS,-1.594580783,5.702388751,-9.671177351,2.84E-06,0.000331685,5.053222801
SPARCL1,-1.451370423,6.093947292,-9.67377105,2.83E-06,0.000331685,5.046438861
CCDC74B,1.57495582,1.885744656,9.477596433,3.39E-06,0.000351046,5.044117375
SLC38A1,0.969888508,7.433966428,9.660019662,2.87E-06,0.000331685,5.040353786
CACNA2D2,2.230210627,3.10904125,9.480728386,3.38E-06,0.000351046,5.02752046
ZFHX3,-3.746049515,1.510687899,-9.51416094,3.28E-06,0.000351046,4.980062558
SMOC2,5.066160361,-2.275817759,11.0080839,8.97E-07,0.000228471,4.976816843
SLC14A1,3.011761369,-0.078280198,9.869489137,2.37E-06,0.000321879,4.962648187
PLEKHA7,2.23582951,1.007471301,9.47984962,3.39E-06,0.000351046,4.961905776
DTL,0.90443867,6.035932219,9.587433499,3.07E-06,0.000341397,4.955776319
RAD54L,1.110749798,3.950170395,9.470032115,3.42E-06,0.000351046,4.942644682
SLCO4A1,1.698348198,4.427710353,9.494459455,3.34E-06,0.000351046,4.942188062
MCM10,0.981593498,6.166672067,9.546218409,3.19E-06,0.000351046,4.915320026
SCN9A,2.233500982,1.864673186,9.324579442,3.92E-06,0.000376491,4.902518613
RHBDF1,-1.079399785,5.207140809,-9.492781791,3.35E-06,0.000351046,4.89076376
SLFN5,2.312747323,0.721026237,9.423403551,3.57E-06,0.000360122,4.862945208
TMEM2,1.816609654,4.659176266,9.420843925,3.58E-06,0.000360122,4.857128001
TENM2,1.386982313,5.773863865,9.471961863,3.41E-06,0.000351046,4.85221844
MYB,1.626831309,1.78402412,9.246304005,4.22E-06,0.000386885,4.832233341
DYNC1I1,3.308648576,1.477134298,9.297777528,4.02E-06,0.00038366,4.828554236
CPNE5,-1.541918205,4.410481353,-9.370696659,3.75E-06,0.000369985,4.825479265
TMPO,0.845549275,7.262710272,9.426418855,3.56E-06,0.000360122,4.809119813
IRAK2,-1.648938775,3.265797472,-9.24298828,4.23E-06,0.000386885,4.790423772
MMP2,-1.967112926,5.968494249,-9.397563226,3.66E-06,0.000365589,4.788975434
AHNAK,1.874718345,5.981110668,9.376073841,3.73E-06,0.000369985,4.761537427
SLC15A2,-1.187939782,4.924100494,-9.336973473,3.87E-06,0.00037452,4.75359096
SYNM,-1.051432993,7.804609145,-9.345386056,3.84E-06,0.000373973,4.747015208
CDCA3,0.92502984,5.34975345,9.35412903,3.81E-06,0.000373329,4.744707256
PAK3,2.632612641,3.359090735,9.178411171,4.50E-06,0.00039552,4.73128766
SH3TC2,2.260113461,0.695831217,9.258301191,4.17E-06,0.000386002,4.726838033
NGFR,-1.789369579,4.059146497,-9.222514108,4.31E-06,0.000387417,4.714478185
BEGAIN,-1.779507648,3.536663048,-9.163815004,4.56E-06,0.00039552,4.697101095
PPP1R3C,-1.032013034,4.885562786,-9.277689302,4.09E-06,0.000386002,4.694850917
